Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Dominica,DMA,"Population, male",SP.POP.TOTL.MA.IN,36282
Dominica,DMA,"Population, female",SP.POP.TOTL.FE.IN,36758
Dominican Republic,DOM,"Population ages 80 and above, female",SP.POP.80UP.FE,103136
Dominican Republic,DOM,"Population ages 80 and above, male",SP.POP.80UP.MA,70653
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11332972
Dominican Republic,DOM,"Population, male",SP.POP.TOTL.MA.IN,5683423
Dominican Republic,DOM,"Population, female",SP.POP.TOTL.FE.IN,5649550
Early-demographic dividend,EAR,"Population ages 80 and above, female",SP.POP.80UP.FE,20598887
Early-demographic dividend,EAR,"Population ages 80 and above, male",SP.POP.80UP.MA,13688514
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3485971283
Early-demographic dividend,EAR,"Population, male",SP.POP.TOTL.MA.IN,1768301436
Early-demographic dividend,EAR,"Population, female",SP.POP.TOTL.FE.IN,1717669847
East Asia & Pacific,EAS,"Population ages 80 and above, female",SP.POP.80UP.FE,39157977
East Asia & Pacific,EAS,"Population ages 80 and above, male",SP.POP.80UP.MA,23904060
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2380459880
East Asia & Pacific,EAS,"Population, male",SP.POP.TOTL.MA.IN,1202645230
East Asia & Pacific,EAS,"Population, female",SP.POP.TOTL.FE.IN,1177814649
East Asia & Pacific (excluding high income),EAP,"Population ages 80 and above, female",SP.POP.80UP.FE,27516028
East Asia & Pacific (excluding high income),EAP,"Population ages 80 and above, male",SP.POP.80UP.MA,16919905
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2134838443
East Asia & Pacific (excluding high income),EAP,"Population, male",SP.POP.TOTL.MA.IN,1082049491
East Asia & Pacific (excluding high income),EAP,"Population, female",SP.POP.TOTL.FE.IN,1052788950
East Asia & Pacific (IDA & IBRD countries),TEA,"Population ages 80 and above, female",SP.POP.80UP.FE,27044364
East Asia & Pacific (IDA & IBRD countries),TEA,"Population ages 80 and above, male",SP.POP.80UP.MA,16722955
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2108690402
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, male",SP.POP.TOTL.MA.IN,1069095272
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, female",SP.POP.TOTL.FE.IN,1039595127
Ecuador,ECU,"Population ages 80 and above, female",SP.POP.80UP.FE,173741
Ecuador,ECU,"Population ages 80 and above, male",SP.POP.80UP.MA,114509
Ecuador,ECU,"Population, total",SP.POP.TOTL,18190484
Ecuador,ECU,"Population, male",SP.POP.TOTL.MA.IN,9078518
Ecuador,ECU,"Population, female",SP.POP.TOTL.FE.IN,9111966
"Egypt, Arab Rep.",EGY,"Population ages 80 and above, female",SP.POP.80UP.FE,411644
"Egypt, Arab Rep.",EGY,"Population ages 80 and above, male",SP.POP.80UP.MA,201239
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,112716598
"Egypt, Arab Rep.",EGY,"Population, male",SP.POP.TOTL.MA.IN,56987677
"Egypt, Arab Rep.",EGY,"Population, female",SP.POP.TOTL.FE.IN,55728922
El Salvador,SLV,"Population ages 80 and above, female",SP.POP.80UP.FE,71161
El Salvador,SLV,"Population ages 80 and above, male",SP.POP.80UP.MA,41949
El Salvador,SLV,"Population, total",SP.POP.TOTL,6364943
El Salvador,SLV,"Population, male",SP.POP.TOTL.MA.IN,3029841
El Salvador,SLV,"Population, female",SP.POP.TOTL.FE.IN,3335102
Equatorial Guinea,GNQ,"Population ages 80 and above, female",SP.POP.80UP.FE,3850
Equatorial Guinea,GNQ,"Population ages 80 and above, male",SP.POP.80UP.MA,2606
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1714671
Equatorial Guinea,GNQ,"Population, male",SP.POP.TOTL.MA.IN,903958
Equatorial Guinea,GNQ,"Population, female",SP.POP.TOTL.FE.IN,810713
Eritrea,ERI,"Population ages 80 and above, female",SP.POP.80UP.FE,13343
Eritrea,ERI,"Population ages 80 and above, male",SP.POP.80UP.MA,8731
Eritrea,ERI,"Population, total",SP.POP.TOTL,3748901
Eritrea,ERI,"Population, male",SP.POP.TOTL.MA.IN,1850523
Eritrea,ERI,"Population, female",SP.POP.TOTL.FE.IN,1898379
Estonia,EST,"Population ages 80 and above, female",SP.POP.80UP.FE,60900
Estonia,EST,"Population ages 80 and above, male",SP.POP.80UP.MA,21867
Estonia,EST,"Population, total",SP.POP.TOTL,1344839
Estonia,EST,"Population, male",SP.POP.TOTL.MA.IN,639163
Estonia,EST,"Population, female",SP.POP.TOTL.FE.IN,705676
Eswatini,SWZ,"Population ages 80 and above, female",SP.POP.80UP.FE,3588
Eswatini,SWZ,"Population ages 80 and above, male",SP.POP.80UP.MA,2080
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1210822
Eswatini,SWZ,"Population, male",SP.POP.TOTL.MA.IN,600049
Eswatini,SWZ,"Population, female",SP.POP.TOTL.FE.IN,610772
Ethiopia,ETH,"Population ages 80 and above, female",SP.POP.80UP.FE,295787
Ethiopia,ETH,"Population ages 80 and above, male",SP.POP.80UP.MA,204380
Ethiopia,ETH,"Population, total",SP.POP.TOTL,126527060
Ethiopia,ETH,"Population, male",SP.POP.TOTL.MA.IN,63545705
